loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,0,Not Graduate,Yes,5341415,22713035,20,476,1473504,13946154,34518681,655012,Rejected
2,4,Not Graduate,No,1688277,592581,15,853,9407523,18996524,22295451,2270703,Approved
3,3,Not Graduate,No,2107880,11567926,12,618,27506784,1877002,32633182,14554807,Approved
4,2,Not Graduate,No,1354787,12614083,12,506,21142314,2582818,34734632,6644793,Rejected
5,2,Graduate,Yes,7297577,38358065,5,415,2279868,16858386,37791457,13130706,Rejected
6,5,Graduate,Yes,6429693,38487812,17,726,10735525,2105030,37418889,13312052,Approved
7,0,Not Graduate,Yes,9629696,33442536,15,466,25340884,14427447,7596572,14558671,Rejected
8,4,Graduate,No,1292647,13702609,18,692,4949534,15466432,1359357,10665306,Approved
9,1,Not Graduate,No,2245804,20970551,15,339,22031834,6074660,25548719,10044116,Rejected
10,0,Not Graduate,No,4665864,20068751,11,681,9337115,5658328,26620054,9022569,Approved
11,3,Not Graduate,Yes,6561151,34018813,7,686,13880760,10115801,22300111,10044755,Approved
12,5,Graduate,Yes,1474776,29540683,20,615,25516020,9826821,9297240,3779492,Approved
13,4,Not Graduate,No,2275977,35837742,15,694,19571146,16686534,37192847,11983306,Approved
14,4,Graduate,Yes,4330825,21902340,18,897,8246623,11491970,16000785,2751997,Approved
15,4,Graduate,No,376467,36332595,13,803,256372,18781637,29066923,7048986,Approved
16,4,Graduate,Yes,4073691,29448787,11,564,6837351,4654526,24427647,5500920,Rejected
17,3,Not Graduate,No,7633831,29262128,2,823,12157154,5452901,35107240,11193565,Approved
18,0,Not Graduate,No,5361068,26236126,3,873,3882524,4676648,27921072,3750086,Approved
19,5,Not Graduate,No,4453246,13458057,15,396,25670456,12620828,24876923,3035982,Rejected
20,2,Not Graduate,Yes,4981579,24155671,6,515,1605675,650004,32935484,11884595,Rejected
21,3,Graduate,No,9478512,14278097,3,746,15733378,16688790,2126831,7156809,Approved
22,2,Graduate,No,5300286,25766237,16,609,28421747,14973400,27651167,10594340,Approved
23,1,Not Graduate,No,5436002,10287812,13,380,9747443,19170436,22980046,12919610,Rejected
24,5,Graduate,Yes,9321997,31627243,4,583,15620205,1371938,30474040,12277412,Rejected
